"Date Printed: Thursday, June 1, 2023 9:45:59 PM",,,,,,,,,,
"Title: ""HIV deaths | HIV diagnoses | HIV prevalence | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | United States | All races/ethnicities | Male | 13-24 | 25-34 | 35-44 | 45-54 | 55+ | Heterosexual contact | Injection drug use | Male-to-male sexual contact | Male-to-male sexual contact and injection drug use | Other""""",,,,,,,,,,
Footnote(s): Data for 2022 are considered preliminary (subject to a 12-month reporting delay). Inclusion of 2022 data in trend assessments is discouraged. Data for the year 2020 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Data by transmission category presented based on assigned sex at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.,,,,,,,,
HIV deaths,2017,United States,NA,13-24,All races/ethnicities,Male,Heterosexual contact,4,Data not available,NA
HIV deaths,2017,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,5,Data not available,NA
HIV deaths,2017,United States,NA,13-24,All races/ethnicities,Male,Injection drug use,6,Data not available,NA
HIV deaths,2017,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact,87,Data not available,NA
HIV deaths,2016,United States,NA,55+,All races/ethnicities,Male,Other,38,Data not available,NA
HIV deaths,2016,United States,NA,55+,All races/ethnicities,Male,Heterosexual contact,999,Data not available,NA
HIV deaths,2016,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,688,Data not available,NA
HIV deaths,2016,United States,NA,55+,All races/ethnicities,Male,Injection drug use,"1,565",Data not available,NA
HIV deaths,2016,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact,"3,349",Data not available,NA
HIV deaths,2016,United States,NA,45-54,All races/ethnicities,Male,Other,13,Data not available,NA
HIV deaths,2016,United States,NA,45-54,All races/ethnicities,Male,Heterosexual contact,436,Data not available,NA
HIV deaths,2016,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,460,Data not available,NA
HIV deaths,2016,United States,NA,45-54,All races/ethnicities,Male,Injection drug use,541,Data not available,NA
HIV deaths,2016,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact,"1,974",Data not available,NA
HIV deaths,2016,United States,NA,35-44,All races/ethnicities,Male,Other,7,Data not available,NA
HIV deaths,2016,United States,NA,35-44,All races/ethnicities,Male,Heterosexual contact,185,Data not available,NA
HIV deaths,2016,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,162,Data not available,NA
HIV deaths,2016,United States,NA,35-44,All races/ethnicities,Male,Injection drug use,115,Data not available,NA
HIV deaths,2016,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact,858,Data not available,NA
HIV deaths,2016,United States,NA,25-34,All races/ethnicities,Male,Other,29,Data not available,NA
HIV deaths,2016,United States,NA,25-34,All races/ethnicities,Male,Heterosexual contact,59,Data not available,NA
HIV deaths,2016,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,77,Data not available,NA
HIV deaths,2016,United States,NA,25-34,All races/ethnicities,Male,Injection drug use,46,Data not available,NA
HIV deaths,2016,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact,612,Data not available,NA
HIV deaths,2016,United States,NA,13-24,All races/ethnicities,Male,Other,16,Data not available,NA
HIV deaths,2016,United States,NA,13-24,All races/ethnicities,Male,Heterosexual contact,3,Data not available,NA
HIV deaths,2016,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,7,Data not available,NA
HIV deaths,2016,United States,NA,13-24,All races/ethnicities,Male,Injection drug use,6,Data not available,NA
HIV deaths,2016,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact,84,Data not available,NA
HIV deaths,2015,United States,NA,55+,All races/ethnicities,Male,Other,37,Data not available,NA
HIV deaths,2015,United States,NA,55+,All races/ethnicities,Male,Heterosexual contact,913,Data not available,NA
HIV deaths,2015,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,630,Data not available,NA
HIV deaths,2015,United States,NA,55+,All races/ethnicities,Male,Injection drug use,"1,502",Data not available,NA
HIV deaths,2015,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact,"2,927",Data not available,NA
HIV deaths,2015,United States,NA,45-54,All races/ethnicities,Male,Other,21,Data not available,NA
HIV deaths,2015,United States,NA,45-54,All races/ethnicities,Male,Heterosexual contact,431,Data not available,NA
HIV deaths,2015,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,557,Data not available,NA
HIV deaths,2015,United States,NA,45-54,All races/ethnicities,Male,Injection drug use,592,Data not available,NA
HIV deaths,2015,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact,"2,098",Data not available,NA
HIV deaths,2015,United States,NA,35-44,All races/ethnicities,Male,Other,11,Data not available,NA
HIV deaths,2015,United States,NA,35-44,All races/ethnicities,Male,Heterosexual contact,179,Data not available,NA
HIV deaths,2015,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,151,Data not available,NA
HIV deaths,2015,United States,NA,35-44,All races/ethnicities,Male,Injection drug use,131,Data not available,NA
HIV deaths,2015,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact,905,Data not available,NA
HIV deaths,2015,United States,NA,25-34,All races/ethnicities,Male,Other,25,Data not available,NA
HIV deaths,2015,United States,NA,25-34,All races/ethnicities,Male,Heterosexual contact,55,Data not available,NA
HIV deaths,2015,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,63,Data not available,NA
HIV deaths,2015,United States,NA,25-34,All races/ethnicities,Male,Injection drug use,48,Data not available,NA
HIV deaths,2015,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact,537,Data not available,NA
HIV deaths,2015,United States,NA,13-24,All races/ethnicities,Male,Other,10,Data not available,NA
HIV deaths,2015,United States,NA,13-24,All races/ethnicities,Male,Heterosexual contact,8,Data not available,NA
HIV deaths,2015,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,5,Data not available,NA
HIV deaths,2015,United States,NA,13-24,All races/ethnicities,Male,Injection drug use,2,Data not available,NA
HIV deaths,2015,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact,88,Data not available,NA
HIV deaths,2014,United States,NA,55+,All races/ethnicities,Male,Other,25,Data not available,NA
HIV deaths,2014,United States,NA,55+,All races/ethnicities,Male,Heterosexual contact,886,Data not available,NA
HIV deaths,2014,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,567,Data not available,NA
HIV deaths,2014,United States,NA,55+,All races/ethnicities,Male,Injection drug use,"1,530",Data not available,NA
HIV deaths,2014,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact,"2,802",Data not available,NA
HIV deaths,2014,United States,NA,45-54,All races/ethnicities,Male,Other,19,Data not available,NA
HIV deaths,2014,United States,NA,45-54,All races/ethnicities,Male,Heterosexual contact,441,Data not available,NA
HIV deaths,2014,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,559,Data not available,NA
HIV deaths,2014,United States,NA,45-54,All races/ethnicities,Male,Injection drug use,669,Data not available,NA
HIV deaths,2014,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact,"2,106",Data not available,NA
HIV deaths,2014,United States,NA,35-44,All races/ethnicities,Male,Other,10,Data not available,NA
HIV deaths,2014,United States,NA,35-44,All races/ethnicities,Male,Heterosexual contact,188,Data not available,NA
HIV deaths,2014,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,164,Data not available,NA
HIV deaths,2014,United States,NA,35-44,All races/ethnicities,Male,Injection drug use,156,Data not available,NA
HIV deaths,2014,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact,959,Data not available,NA
HIV deaths,2014,United States,NA,25-34,All races/ethnicities,Male,Other,21,Data not available,NA
HIV deaths,2014,United States,NA,25-34,All races/ethnicities,Male,Heterosexual contact,60,Data not available,NA
HIV deaths,2014,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,61,Data not available,NA
HIV deaths,2014,United States,NA,25-34,All races/ethnicities,Male,Injection drug use,43,Data not available,NA
HIV deaths,2014,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact,555,Data not available,NA
HIV deaths,2014,United States,NA,13-24,All races/ethnicities,Male,Other,16,Data not available,NA
HIV deaths,2014,United States,NA,13-24,All races/ethnicities,Male,Heterosexual contact,7,Data not available,NA
HIV deaths,2014,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,3,Data not available,NA
HIV deaths,2014,United States,NA,13-24,All races/ethnicities,Male,Injection drug use,3,Data not available,NA
HIV deaths,2014,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact,95,Data not available,NA
HIV deaths,2013,United States,NA,55+,All races/ethnicities,Male,Other,35,Data not available,NA
HIV deaths,2013,United States,NA,55+,All races/ethnicities,Male,Heterosexual contact,836,Data not available,NA
HIV deaths,2013,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,508,Data not available,NA
HIV deaths,2013,United States,NA,55+,All races/ethnicities,Male,Injection drug use,"1,405",Data not available,NA
HIV deaths,2013,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact,"2,510",Data not available,NA
HIV deaths,2013,United States,NA,45-54,All races/ethnicities,Male,Other,18,Data not available,NA
HIV deaths,2013,United States,NA,45-54,All races/ethnicities,Male,Heterosexual contact,513,Data not available,NA
HIV deaths,2013,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,566,Data not available,NA
HIV deaths,2013,United States,NA,45-54,All races/ethnicities,Male,Injection drug use,739,Data not available,NA
HIV deaths,2013,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact,"2,218",Data not available,NA
HIV deaths,2013,United States,NA,35-44,All races/ethnicities,Male,Other,10,Data not available,NA
HIV deaths,2013,United States,NA,35-44,All races/ethnicities,Male,Heterosexual contact,211,Data not available,NA
HIV deaths,2013,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,195,Data not available,NA
HIV deaths,2013,United States,NA,35-44,All races/ethnicities,Male,Injection drug use,162,Data not available,NA
HIV deaths,2013,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact,996,Data not available,NA
HIV deaths,2013,United States,NA,25-34,All races/ethnicities,Male,Other,11,Data not available,NA
HIV deaths,2013,United States,NA,25-34,All races/ethnicities,Male,Heterosexual contact,70,Data not available,NA
HIV deaths,2013,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,76,Data not available,NA
HIV deaths,2013,United States,NA,25-34,All races/ethnicities,Male,Injection drug use,38,Data not available,NA
HIV deaths,2013,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact,564,Data not available,NA
HIV deaths,2013,United States,NA,13-24,All races/ethnicities,Male,Other,34,Data not available,NA
HIV deaths,2013,United States,NA,13-24,All races/ethnicities,Male,Heterosexual contact,5,Data not available,NA
HIV deaths,2013,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,8,Data not available,NA
HIV deaths,2013,United States,NA,13-24,All races/ethnicities,Male,Injection drug use,1,Data not available,NA
HIV deaths,2013,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact,86,Data not available,NA
HIV deaths,2012,United States,NA,55+,All races/ethnicities,Male,Other,33,Data not available,NA
HIV deaths,2012,United States,NA,55+,All races/ethnicities,Male,Heterosexual contact,849,Data not available,NA
HIV deaths,2012,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,438,Data not available,NA
HIV deaths,2012,United States,NA,55+,All races/ethnicities,Male,Injection drug use,"1,402",Data not available,NA
HIV deaths,2012,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact,"2,287",Data not available,NA
HIV deaths,2012,United States,NA,45-54,All races/ethnicities,Male,Other,19,Data not available,NA
HIV deaths,2012,United States,NA,45-54,All races/ethnicities,Male,Heterosexual contact,495,Data not available,NA
HIV deaths,2012,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,560,Data not available,NA
HIV deaths,2012,United States,NA,45-54,All races/ethnicities,Male,Injection drug use,835,Data not available,NA
HIV deaths,2012,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact,"2,255",Data not available,NA
HIV deaths,2012,United States,NA,35-44,All races/ethnicities,Male,Other,14,Data not available,NA
HIV deaths,2012,United States,NA,35-44,All races/ethnicities,Male,Heterosexual contact,221,Data not available,NA
HIV deaths,2012,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,220,Data not available,NA
HIV deaths,2012,United States,NA,35-44,All races/ethnicities,Male,Injection drug use,159,Data not available,NA
HIV deaths,2012,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact,"1,049",Data not available,NA
HIV deaths,2012,United States,NA,25-34,All races/ethnicities,Male,Other,22,Data not available,NA
HIV deaths,2012,United States,NA,25-34,All races/ethnicities,Male,Heterosexual contact,78,Data not available,NA
HIV deaths,2012,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,78,Data not available,NA
HIV deaths,2012,United States,NA,25-34,All races/ethnicities,Male,Injection drug use,49,Data not available,NA
HIV deaths,2012,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact,559,Data not available,NA
HIV deaths,2012,United States,NA,13-24,All races/ethnicities,Male,Other,26,Data not available,NA
HIV deaths,2012,United States,NA,13-24,All races/ethnicities,Male,Heterosexual contact,10,Data not available,NA
HIV deaths,2012,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,7,Data not available,NA
HIV deaths,2012,United States,NA,13-24,All races/ethnicities,Male,Injection drug use,2,Data not available,NA
HIV deaths,2012,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact,92,Data not available,NA
HIV deaths,2011,United States,NA,55+,All races/ethnicities,Male,Other,34,Data not available,NA
HIV deaths,2011,United States,NA,55+,All races/ethnicities,Male,Heterosexual contact,795,Data not available,NA
HIV deaths,2011,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,435,Data not available,NA
HIV deaths,2011,United States,NA,55+,All races/ethnicities,Male,Injection drug use,"1,369",Data not available,NA
HIV deaths,2011,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact,"2,157",Data not available,NA
HIV deaths,2011,United States,NA,45-54,All races/ethnicities,Male,Other,21,Data not available,NA
HIV deaths,2011,United States,NA,45-54,All races/ethnicities,Male,Heterosexual contact,574,Data not available,NA
HIV deaths,2011,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,596,Data not available,NA
HIV deaths,2011,United States,NA,45-54,All races/ethnicities,Male,Injection drug use,929,Data not available,NA
HIV deaths,2011,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact,"2,302",Data not available,NA
HIV deaths,2011,United States,NA,35-44,All races/ethnicities,Male,Other,17,Data not available,NA
HIV deaths,2011,United States,NA,35-44,All races/ethnicities,Male,Heterosexual contact,245,Data not available,NA
HIV deaths,2011,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,239,Data not available,NA
HIV deaths,2011,United States,NA,35-44,All races/ethnicities,Male,Injection drug use,213,Data not available,NA
HIV deaths,2011,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact,"1,207",Data not available,NA
HIV deaths,2011,United States,NA,25-34,All races/ethnicities,Male,Other,14,Data not available,NA
HIV deaths,2011,United States,NA,25-34,All races/ethnicities,Male,Heterosexual contact,86,Data not available,NA
HIV deaths,2011,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,61,Data not available,NA
HIV deaths,2011,United States,NA,25-34,All races/ethnicities,Male,Injection drug use,43,Data not available,NA
HIV deaths,2011,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact,510,Data not available,NA
HIV deaths,2011,United States,NA,13-24,All races/ethnicities,Male,Other,33,Data not available,NA
HIV deaths,2011,United States,NA,13-24,All races/ethnicities,Male,Heterosexual contact,7,Data not available,NA
HIV deaths,2011,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,8,Data not available,NA
HIV deaths,2011,United States,NA,13-24,All races/ethnicities,Male,Injection drug use,5,Data not available,NA
HIV deaths,2011,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact,104,Data not available,NA
HIV deaths,2010,United States,NA,55+,All races/ethnicities,Male,Other,36,Data not available,NA
HIV deaths,2010,United States,NA,55+,All races/ethnicities,Male,Heterosexual contact,766,Data not available,NA
HIV deaths,2010,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,397,Data not available,NA
HIV deaths,2010,United States,NA,55+,All races/ethnicities,Male,Injection drug use,"1,314",Data not available,NA
HIV deaths,2010,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact,"2,063",Data not available,NA
HIV deaths,2010,United States,NA,45-54,All races/ethnicities,Male,Other,16,Data not available,NA
HIV deaths,2010,United States,NA,45-54,All races/ethnicities,Male,Heterosexual contact,591,Data not available,NA
HIV deaths,2010,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,584,Data not available,NA
HIV deaths,2010,United States,NA,45-54,All races/ethnicities,Male,Injection drug use,"1,107",Data not available,NA
HIV deaths,2010,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact,"2,335",Data not available,NA
HIV deaths,2010,United States,NA,35-44,All races/ethnicities,Male,Other,20,Data not available,NA
HIV deaths,2010,United States,NA,35-44,All races/ethnicities,Male,Heterosexual contact,279,Data not available,NA
HIV deaths,2010,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,299,Data not available,NA
HIV deaths,2010,United States,NA,35-44,All races/ethnicities,Male,Injection drug use,289,Data not available,NA
HIV deaths,2010,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact,"1,291",Data not available,NA
HIV deaths,2010,United States,NA,25-34,All races/ethnicities,Male,Other,7,Data not available,NA
HIV deaths,2010,United States,NA,25-34,All races/ethnicities,Male,Heterosexual contact,74,Data not available,NA
HIV deaths,2010,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,77,Data not available,NA
HIV deaths,2010,United States,NA,25-34,All races/ethnicities,Male,Injection drug use,67,Data not available,NA
HIV deaths,2010,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact,554,Data not available,NA
HIV deaths,2010,United States,NA,13-24,All races/ethnicities,Male,Other,29,Data not available,NA
HIV deaths,2010,United States,NA,13-24,All races/ethnicities,Male,Heterosexual contact,4,Data not available,NA
HIV deaths,2010,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,8,Data not available,NA
HIV deaths,2010,United States,NA,13-24,All races/ethnicities,Male,Injection drug use,1,Data not available,NA
HIV deaths,2010,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact,108,Data not available,NA
HIV deaths,2009,United States,NA,55+,All races/ethnicities,Male,Other,34,Data not available,NA
HIV deaths,2009,United States,NA,55+,All races/ethnicities,Male,Heterosexual contact,752,Data not available,NA
HIV deaths,2009,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,390,Data not available,NA
HIV deaths,2009,United States,NA,55+,All races/ethnicities,Male,Injection drug use,"1,369",Data not available,NA
HIV deaths,2009,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact,"2,022",Data not available,NA
HIV deaths,2009,United States,NA,45-54,All races/ethnicities,Male,Other,26,Data not available,NA
HIV deaths,2009,United States,NA,45-54,All races/ethnicities,Male,Heterosexual contact,588,Data not available,NA
HIV deaths,2009,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,670,Data not available,NA
HIV deaths,2009,United States,NA,45-54,All races/ethnicities,Male,Injection drug use,"1,278",Data not available,NA
HIV deaths,2009,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact,"2,266",Data not available,NA
HIV deaths,2009,United States,NA,35-44,All races/ethnicities,Male,Other,20,Data not available,NA
HIV deaths,2009,United States,NA,35-44,All races/ethnicities,Male,Heterosexual contact,344,Data not available,NA
HIV deaths,2009,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,347,Data not available,NA
HIV deaths,2009,United States,NA,35-44,All races/ethnicities,Male,Injection drug use,369,Data not available,NA
HIV deaths,2009,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact,"1,660",Data not available,NA
HIV deaths,2009,United States,NA,25-34,All races/ethnicities,Male,Other,10,Data not available,NA
HIV deaths,2009,United States,NA,25-34,All races/ethnicities,Male,Heterosexual contact,116,Data not available,NA
HIV deaths,2009,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,95,Data not available,NA
HIV deaths,2009,United States,NA,25-34,All races/ethnicities,Male,Injection drug use,65,Data not available,NA
HIV deaths,2009,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact,598,Data not available,NA
HIV deaths,2009,United States,NA,13-24,All races/ethnicities,Male,Other,20,Data not available,NA
HIV deaths,2009,United States,NA,13-24,All races/ethnicities,Male,Heterosexual contact,12,Data not available,NA
HIV deaths,2009,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,9,Data not available,NA
HIV deaths,2009,United States,NA,13-24,All races/ethnicities,Male,Injection drug use,5,Data not available,NA
HIV deaths,2009,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact,92,Data not available,NA
HIV deaths,2008,United States,NA,55+,All races/ethnicities,Male,Other,42,Data not available,NA
HIV deaths,2008,United States,NA,55+,All races/ethnicities,Male,Heterosexual contact,790,Data not available,NA
HIV deaths,2008,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,334,Data not available,NA
HIV deaths,2008,United States,NA,55+,All races/ethnicities,Male,Injection drug use,"1,237",Data not available,NA
HIV deaths,2008,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact,"1,833",Data not available,NA
HIV deaths,2008,United States,NA,45-54,All races/ethnicities,Male,Other,21,Data not available,NA
HIV deaths,2008,United States,NA,45-54,All races/ethnicities,Male,Heterosexual contact,651,Data not available,NA
HIV deaths,2008,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,637,Data not available,NA
HIV deaths,2008,United States,NA,45-54,All races/ethnicities,Male,Injection drug use,"1,369",Data not available,NA
HIV deaths,2008,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact,"2,393",Data not available,NA
HIV deaths,2008,United States,NA,35-44,All races/ethnicities,Male,Other,23,Data not available,NA
HIV deaths,2008,United States,NA,35-44,All races/ethnicities,Male,Heterosexual contact,446,Data not available,NA
HIV deaths,2008,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,403,Data not available,NA
HIV deaths,2008,United States,NA,35-44,All races/ethnicities,Male,Injection drug use,499,Data not available,NA
HIV deaths,2008,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact,"1,749",Data not available,NA
HIV deaths,2008,United States,NA,25-34,All races/ethnicities,Male,Other,11,Data not available,NA
HIV deaths,2008,United States,NA,25-34,All races/ethnicities,Male,Heterosexual contact,117,Data not available,NA
HIV deaths,2008,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,87,Data not available,NA
HIV deaths,2008,United States,NA,25-34,All races/ethnicities,Male,Injection drug use,79,Data not available,NA
HIV deaths,2008,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact,623,Data not available,NA
HIV deaths,2008,United States,NA,13-24,All races/ethnicities,Male,Other,25,Data not available,NA
HIV deaths,2008,United States,NA,13-24,All races/ethnicities,Male,Heterosexual contact,14,Data not available,NA
HIV deaths,2008,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,8,Data not available,NA
HIV deaths,2008,United States,NA,13-24,All races/ethnicities,Male,Injection drug use,10,Data not available,NA
HIV deaths,2008,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact,93,Data not available,NA
HIV diagnoses,2021,United States,NA,55+,All races/ethnicities,Male,Other,11,Data not available,NA
HIV diagnoses,2021,United States,NA,55+,All races/ethnicities,Male,Heterosexual contact,587,Data not available,NA
HIV diagnoses,2021,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,81,Data not available,NA
HIV diagnoses,2021,United States,NA,55+,All races/ethnicities,Male,Injection drug use,227,Data not available,NA
HIV diagnoses,2021,United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact,"1,789",Data not available,NA
HIV diagnoses,2021,United States,NA,45-54,All races/ethnicities,Male,Other,2,Data not available,NA
HIV diagnoses,2021,United States,NA,45-54,All races/ethnicities,Male,Heterosexual contact,478,Data not available,NA
HIV diagnoses,2021,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,157,Data not available,NA
HIV diagnoses,2021,United States,NA,45-54,All races/ethnicities,Male,Injection drug use,241,Data not available,NA
HIV diagnoses,2021,United States,NA,45-54,All races/ethnicities,Male,Male-to-male sexual contact,"2,342",Data not available,NA
HIV diagnoses,2021,United States,NA,35-44,All races/ethnicities,Male,Other,4,Data not available,NA
HIV diagnoses,2021,United States,NA,35-44,All races/ethnicities,Male,Heterosexual contact,616,Data not available,NA
HIV diagnoses,2021,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,377,Data not available,NA
HIV diagnoses,2021,United States,NA,35-44,All races/ethnicities,Male,Injection drug use,418,Data not available,NA
HIV diagnoses,2021,United States,NA,35-44,All races/ethnicities,Male,Male-to-male sexual contact,"4,429",Data not available,NA
HIV diagnoses,2021,United States,NA,25-34,All races/ethnicities,Male,Other,5,Data not available,NA
HIV diagnoses,2021,United States,NA,25-34,All races/ethnicities,Male,Heterosexual contact,601,Data not available,NA
HIV diagnoses,2021,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,602,Data not available,NA
HIV diagnoses,2021,United States,NA,25-34,All races/ethnicities,Male,Injection drug use,447,Data not available,NA
HIV diagnoses,2021,United States,NA,25-34,All races/ethnicities,Male,Male-to-male sexual contact,"9,624",Data not available,NA
HIV diagnoses,2021,United States,NA,13-24,All races/ethnicities,Male,Other,8,Data not available,NA
HIV diagnoses,2021,United States,NA,13-24,All races/ethnicities,Male,Heterosexual contact,179,Data not available,NA
HIV diagnoses,2021,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,156,Data not available,NA
HIV diagnoses,2021,United States,NA,13-24,All races/ethnicities,Male,Injection drug use,84,Data not available,NA
HIV diagnoses,2021,United States,NA,13-24,All races/ethnicities,Male,Male-to-male sexual contact,"5,672",Data not available,NA
HIV diagnoses,2020 (COVID-19 Pandemic),United States,NA,55+,All races/ethnicities,Male,Other,9,Data not available,NA
HIV diagnoses,2020 (COVID-19 Pandemic),United States,NA,55+,All races/ethnicities,Male,Heterosexual contact,477,Data not available,NA
HIV diagnoses,2020 (COVID-19 Pandemic),United States,NA,55+,All races/ethnicities,Male,Male-to-male sexual contact and injection drug use,64,Data not available,NA
HIV diagnoses,2020 (COVID-19 Pandemic),United States,NA,55+,All races/ethnicities,Male,Injection drug use,193,Data not available,NA
